dataset,i,j,dv,drgb8
bfd_p-d65,1431,1419,1.43304,17
bfd_p-d65,1431,1434,1.35565,2
bfd_p-d65,1464,1485,1.4,3
bfd_p-d65,1464,1461,1.5968,4
bfd_p-d65,1464,1450,1.7088,11
bfd_p-d65,1464,1449,1.2608,4
bfd_p-d65,1464,1452,1.0928,2
bfd_p-d65,1464,1468,1.0496,4
bfd_p-d65,1464,1451,1.6864,10
bfd_p-d65,1464,1469,1.232,2
bfd_p-d65,1464,1478,1.2608,3
bfd_p-d65,1464,1460,1.7504,8
bfd_p-d65,1508,1519,1.13423,3
bfd_p-d65,1508,1488,1.20268,9
bfd_p-d65,1508,1514,1.10872,2
bfd_p-d65,1508,1511,0.94094,3
bfd_p-d65,1508,1495,1.37181,4
bfd_p-d65,1508,1517,1.0094,5
bfd_p-d65,1508,1499,1.16779,4
bfd_p-d65,1508,1537,1.32752,8
bfd_p-d65,1508,1500,1.49664,7
bfd_p-d65,1508,1507,1.12215,6
bfd_p-d65,1508,1491,0.918121,7
bfd_p-d65,1508,1506,1.2255,4
bfd_p-d65,1508,1503,1.13826,5
bfd_p-d65,1508,1513,1.16779,2
bfd_p-d65,1508,1529,1.21342,5
bfd_p-d65,1633,1625,1.46875,3
bfd_p-d65,1633,1673,1.47743,3
bfd_p-d65,1633,1616,1.41667,3
bfd_p-d65,1633,1676,1.95312,4
bfd_p-d65,1633,1629,1.95312,5
bfd_p-d65,1633,1647,1.86458,4
bfd_p-d65,1633,1628,1.32118,3
bfd_p-d65,1633,1619,1.57812,3
bfd_p-d65,1633,1646,1.48264,4
bfd_p-d65,1633,1617,1.65972,2
bfd_p-d65,1633,1649,1.15278,2
bfd_p-d65,1633,1662,1.65972,3
bfd_p-d65,1633,1666,1.85069,4
bfd_p-d65,1633,1623,1.86458,6
bfd_p-d65,1774,1728,1.66282,2
bfd_p-d65,1774,1793,1.56351,2
bfd_p-d65,1774,1790,1.49654,3
bfd_p-d65,1774,1733,1.8291,3
bfd_p-d65,1774,1769,1.79677,2
bfd_p-d65,1774,1716,2.39492,4
bfd_p-d65,1774,1704,1.21478,4
bfd_p-d65,1774,1812,1.72979,2
bfd_p-d65,1774,1822,1.26328,3
bfd_p-d65,1774,1725,1.33025,2
bfd_p-d65,1774,1780,1.67898,2
bfd_p-d65,1724,1738,1.52344,3
bfd_p-d65,1724,1729,1.33398,3
bfd_p-d65,1724,1691,1.48633,2
bfd_p-d65,1724,1730,1.55469,2
bfd_p-d65,1724,1699,1.76758,2
bfd_p-d65,1724,1720,1.26367,2
bfd_p-d65,1724,1742,1.54687,3
bfd_p-d65,1724,1688,1.32617,3
bfd_p-d65,1724,1703,1.53125,4
bfd_p-d65,1724,1737,1.40234,3
bfd_p-d65,1724,1696,1.41602,3
bfd_p-d65,1724,1705,1.32617,3
bfd_p-d65,1724,1712,1.40234,2
bfd_p-d65,1857,1858,1.34953,4
bfd_p-d65,1857,1851,1.37652,2
bfd_p-d65,1857,1841,1.09987,2
bfd_p-d65,1857,1840,1.67341,4
bfd_p-d65,1857,1879,1.5857,4
bfd_p-d65,1857,1888,1.64642,4
bfd_p-d65,1857,1838,1.22132,2
bfd_p-d65,1857,1860,1.61943,3
bfd_p-d65,1857,1862,1.52497,2
bfd_p-d65,1857,1839,1.39001,2
bfd_p-d65,1811,1826,1.72684,5
bfd_p-d65,1811,1819,1.58845,2
bfd_p-d65,1811,1825,1.83875,6
bfd_p-d65,1811,1816,1.45969,2
bfd_p-d65,1811,1807,1.65824,2
bfd_p-d65,1811,1827,1.48496,5
bfd_p-d65,1811,1835,1.98556,4
bfd_p-d65,1811,1823,1.19134,4
bfd_p-d65,1811,1801,1.31288,2
bfd_p-d65,2046,2036,1.16359,2
bfd_p-d65,2046,2065,1.17466,2
bfd_p-d65,2046,2084,1.123,3
bfd_p-d65,2046,2072,0.779828,2
bfd_p-d65,2046,2094,1.10578,3
bfd_p-d65,2046,2078,1.19803,2
bfd_p-d65,2046,2040,0.96556,2
bfd_p-d65,2046,2041,0.873309,2
bfd_p-d65,2046,2058,1.123,4
bfd_p-d65,2046,2077,1.17466,3
bfd_p-d65,2046,2079,1.31488,3
bfd_p-d65,2101,2103,1.60846,3
bfd_p-d65,2101,2085,1.38419,3
bfd_p-d65,2101,2088,1.52757,2
bfd_p-d65,2101,2076,1.67279,3
bfd_p-d65,2101,2063,1.38419,3
bfd_p-d65,2101,2109,1.33456,3
bfd_p-d65,2101,2100,1.64154,3
bfd_p-d65,2101,2086,1.59191,5
bfd_p-d65,2101,2117,1.28676,3
bfd_p-d65,2101,2095,1.625,5
bfd_p-d65,2101,2053,1.9136,6
bfd_p-d65,1871,1882,1.43808,2
bfd_p-d65,1871,1866,1.03595,2
bfd_p-d65,1871,1847,1.48069,3
bfd_p-d65,1871,1863,1.40879,4
bfd_p-d65,1871,1859,1.48069,3
bfd_p-d65,1871,1864,1.23702,3
bfd_p-d65,1871,1897,1.52463,3
bfd_p-d65,1871,1869,1.5526,5
bfd_p-d65,1871,1878,1.15047,2
bfd_p-d65,1871,1884,1.48069,4
bfd_p-d65,1955,1951,1.55556,13
bfd_p-d65,1955,1917,1.3381,12
bfd_p-d65,1955,1990,1.50952,9
bfd_p-d65,1955,1916,1.41587,3
bfd_p-d65,1955,1930,1.29048,9
bfd_p-d65,1955,1949,1.71111,17
bfd_p-d65,1955,2008,1.13492,6
bfd_p-d65,1955,1961,1.53968,10
bfd_p-d65,1955,1932,1.53968,2
bfd_p-d65,2132,2135,1.51943,5
bfd_p-d65,2132,2090,1.58775,8
bfd_p-d65,2132,2148,1.61013,4
bfd_p-d65,2132,2124,1.36749,2
bfd_p-d65,2132,2139,1.23086,7
bfd_p-d65,2132,2164,1.69376,5
bfd_p-d65,2132,2106,1.48881,8
bfd_p-d65,2132,2156,2.08127,4
bfd_p-d65,2132,2149,1.10954,6
bfd_p-d65,2132,2114,1.74794,5
bfd_p-d65,196,188,1.41911,12
bfd_p-d65,196,167,0.955535,6
bfd_p-d65,196,166,1.61779,5
bfd_p-d65,196,208,1.44749,12
bfd_p-d65,196,194,1.36235,10
bfd_p-d65,196,197,1.15421,13
bfd_p-d65,196,158,1.02176,7
bfd_p-d65,196,168,2.03406,16
bfd_p-d65,196,202,1.8543,11
bfd_p-d65,196,138,1.61779,10
bfd_p-d65,196,207,0.936613,6
bfd_p-d65,162,146,1.7246,3
bfd_p-d65,162,160,1.06952,3
bfd_p-d65,162,184,1.1631,3
bfd_p-d65,162,149,1.1631,5
bfd_p-d65,162,171,0.909091,3
bfd_p-d65,162,170,1.32353,4
bfd_p-d65,162,172,1.28342,4
bfd_p-d65,162,165,1.25668,3
bfd_p-d65,162,178,1.79144,4
bfd_p-d65,162,173,1.57754,3
bfd_p-d65,162,159,0.935829,2
bfd_p-d65,162,179,1.9385,3
bfd_p-d65,777,819,1.36364,5
bfd_p-d65,777,875,1.87799,12
bfd_p-d65,777,842,1.97368,9
bfd_p-d65,777,730,2.21292,12
bfd_p-d65,777,786,1.36364,4
bfd_p-d65,777,1037,2.78708,22
bfd_p-d65,777,820,1.36364,5
bfd_p-d65,777,860,1.91388,8
bfd_p-d65,777,868,2.14115,6
bfd_p-d65,777,749,2.32057,4
bfd_p-d65,777,970,1.75837,9
bfd_p-d65,777,969,1.36364,9
bfd_p-d65,99,81,1.28806,3
bfd_p-d65,99,107,0.995316,3
bfd_p-d65,99,87,1.17096,2
bfd_p-d65,99,101,0.960187,2
bfd_p-d65,99,95,0.936768,2
bfd_p-d65,99,88,1.15925,2
bfd_p-d65,99,106,1.14754,3
bfd_p-d65,129,136,0.867294,2
bfd_p-d65,129,130,1.04493,2
bfd_p-d65,129,132,1.06583,2
bfd_p-d65,129,145,1.14943,2
bfd_p-d65,129,139,1.08673,2
bfd_p-d65,129,135,1.08673,2
bfd_p-d65,129,131,1.02403,3
bfd_p-d65,129,141,1.17032,3
bfd_p-d65,129,127,1.20167,2
bfd_p-d65,129,113,1.38976,2
bfd_p-d65,14,17,1.54676,3
bfd_p-d65,14,15,1.7446,3
bfd_p-d65,14,16,1.65468,3
bfd_p-d65,14,8,1.7446,3
bfd_p-d65,14,11,1.7446,2
bfd_p-d65,14,13,1.7446,3
bfd_p-d65,14,12,1.83453,3
bfd_p-d65,14,9,1.83453,2
bfd_p-d65,14,10,1.70863,2
bfd_p-d65,14,18,1.67266,2
bfd_p-d65,2337,2343,1.24464,4
bfd_p-d65,2337,2349,0.844063,3
bfd_p-d65,2337,2345,1.03004,2
bfd_p-d65,2337,2336,1.28755,2
bfd_p-d65,2337,2351,1.1731,3
bfd_p-d65,2337,2338,1.43062,2
bfd_p-d65,2337,2340,1.3877,2
bfd_p-d65,2337,2352,1.03004,4
bfd_p-d65,2337,2342,1.1731,2
bfd_p-d65,2337,2353,1.28755,5
bfd_p-d65,2303,2300,1.59734,5
bfd_p-d65,2303,2304,1.4975,4
bfd_p-d65,2303,2306,1.46423,4
bfd_p-d65,2303,2308,1.76373,3
bfd_p-d65,2303,2309,1.2812,3
bfd_p-d65,2303,2312,1.54742,4
bfd_p-d65,2303,2313,1.78037,6
bfd_p-d65,2303,2307,1.33111,2
bfd_p-d65,2303,2301,1.51414,4
bfd_p-d65,2303,2311,1.76373,5
bfd_p-d65,2303,2302,1.24792,2
bfd_p-d65,2303,2305,1.51414,3
bfd_p-d65,644,654,0.321012,6
bfd_p-d65,644,656,0.554475,10
bfd_p-d65,644,651,0.301556,4
bfd_p-d65,644,649,0.379377,3
bfd_p-d65,644,653,0.856031,3
bfd_p-d65,644,655,0.57393,3
bfd_p-d65,644,643,0.768482,11
bfd_p-d65,2477,2474,1.0687,3
bfd_p-d65,2477,2484,1.24973,3
bfd_p-d65,2477,2475,0.888768,3
bfd_p-d65,2477,2483,1.43075,3
bfd_p-d65,2477,2481,1.35551,3
bfd_p-d65,2477,2480,1.17557,2
bfd_p-d65,2477,2488,2.07852,3
bfd_p-d65,2477,2493,1.64122,3
bfd_p-d65,2477,2482,1.7928,2
bfd_p-d65,2477,2487,1.506,3
bfd_p-d65,2477,2491,1.20502,5
bfd_p-d65,2477,2485,0.964013,4
bfd_p-d65,2477,2492,1.43075,5
bfd_p-d65,2477,2499,0.782988,6
bfd_p-d65,2477,2459,0.994547,7
bfd_p-d65,2477,2497,1.24973,5
bfd_p-d65,2477,2460,1.86805,7
bfd_p-d65,2477,2498,0.572519,5
bfd_p-d65,2477,2496,1.29553,4
bfd_p-d65,2477,2468,0.557252,5
bfd_p-d65,2477,2472,0.661941,4
bfd_p-d65,2477,2467,1.65649,6
bfd_p-d65,2477,2495,1.80698,4
bfd_p-d65,578,559,1.73316,5
bfd_p-d65,578,591,3.17201,5
bfd_p-d65,578,579,2.51799,4
bfd_p-d65,578,614,2.3414,5
bfd_p-d65,578,587,2.91694,4
bfd_p-d65,578,613,1.58273,4
bfd_p-d65,578,612,1.51079,3
bfd_p-d65,578,608,1.8378,4
bfd_p-d65,578,584,2.13865,5
bfd_p-d65,578,670,1.63506,7
bfd_p-d65,578,681,2.81884,8
bfd_p-d65,578,648,2.91694,6
bfd_p-d65,578,448,3.64944,11
bfd_p-d65,578,503,2.9431,8
bfd_p-d65,578,501,2.31524,8
bfd_p-d65,578,599,1.75932,5
bfd_p-d65,578,507,3.42054,8
bfd_p-d65,578,663,2.26292,9
bfd_p-d65,578,519,2.13865,6
bfd_p-d65,524,532,0.816495,2
bfd_p-d65,524,531,1.94124,4
bfd_p-d65,524,508,1.37835,5
bfd_p-d65,524,537,1.42062,3
bfd_p-d65,524,530,1.53814,3
bfd_p-d65,524,547,2.19588,5
bfd_p-d65,524,543,1.49485,4
bfd_p-d65,524,536,1.83505,4
bfd_p-d65,524,533,1.78144,4
bfd_p-d65,524,520,2.49278,6
bfd_p-d65,524,517,1.90928,5
bfd_p-d65,524,542,2.2268,4
bfd_p-d65,524,544,1.07113,3
bfd_p-d65,524,558,1.56907,4
bfd_p-d65,524,527,0.869072,3
bfd_p-d65,524,564,0.614433,4
bfd_p-d65,524,577,0.774227,6
bfd_p-d65,524,638,1.32577,8
bfd_p-d65,524,460,1.87732,8
bfd_p-d65,524,565,2.25876,7
bfd_p-d65,524,572,0.996907,4
bfd_p-d65,524,610,2.71546,12
bfd_p-d65,524,421,2.2268,11
bfd_p-d65,524,609,1.25155,8
bfd_p-d65,1995,1970,1.38117,3
bfd_p-d65,1995,2026,1.60245,4
bfd_p-d65,1995,2016,1.542,3
bfd_p-d65,1995,2007,1.33823,3
bfd_p-d65,1995,1989,1.49284,3
bfd_p-d65,1995,1913,1.84143,5
bfd_p-d65,1995,1931,1.80603,4
bfd_p-d65,1995,1919,1.83842,5
bfd_p-d65,1995,1934,1.88211,5
bfd_p-d65,1995,1946,1.95217,4
bfd_p-d65,1995,1942,1.4838,4
bfd_p-d65,1995,1921,1.84746,5
bfd_p-d65,1995,1983,1.12411,4
bfd_p-d65,1995,1994,1.2968,3
bfd_p-d65,1995,2028,1.86969,4
bfd_p-d65,1995,2021,1.76062,3
bfd_p-d65,1995,1928,2.10525,4
bfd_p-d65,1995,1914,2.03652,5
bfd_p-d65,1995,1933,3.24916,6
bfd_p-d65,1995,1977,1.06969,2
bfd_p-d65,1995,1950,1.78091,5
bfd_p-d65,1995,2004,1.32363,2
bfd_p-d65,1995,1981,1.67924,2
bfd_p-d65,1995,1937,2.63484,4
bfd_p-d65,1995,1909,2.9494,9
bfd_p-d65,1995,1940,1.73938,4
bfd_p-d65,1855,1876,0.431398,3
bfd_p-d65,1855,1887,0.522515,3
bfd_p-d65,1855,1895,0.577836,3
bfd_p-d65,1855,1894,0.754529,3
bfd_p-d65,1855,1896,0.79912,3
bfd_p-d65,1855,1899,0.99015,4
bfd_p-d65,1855,1890,0.787951,3
bfd_p-d65,1855,1898,1.06579,6
bfd_p-d65,1855,1872,0.703958,3
bfd_p-d65,1855,1870,0.660422,3
bfd_p-d65,1855,1865,0.71504,4
bfd_p-d65,1855,1845,0.498417,3
bfd_p-d65,1855,1905,1.09587,6
bfd_p-d65,669,696,0.908344,2
bfd_p-d65,669,568,1.21445,7
bfd_p-d65,669,563,1.26202,7
bfd_p-d65,669,567,1.24857,7
bfd_p-d65,669,664,0.792902,2
bfd_p-d65,669,712,1.31258,5
bfd_p-d65,669,711,1.11519,5
bfd_p-d65,669,713,1.19614,4
bfd_p-d65,1881,1600,3.38,13
bfd_p-d65,1881,2174,5.57,18
bfd_p-d65,838,1184,3.49,14
bfd_p-d65,838,1074,3.04,12
bfd_p-d65,838,980,3.09,11
bfd_p-d65,1075,758,3.75,10
bfd_p-d65,781,757,3.9,12
bfd_p-d65,781,671,3.97,12
bfd_p-d65,673,987,4.38,15
bfd_p-d65,759,988,3.94,11
bfd_p-d65,781,1222,4.73,18
bfd_p-d65,1139,1441,3.52,14
bfd_p-d65,1902,2143,2.91,13
bfd_p-d65,1902,2199,4.3,20
bfd_p-d65,1902,2143,3.02,13
bfd_p-d65,1902,2199,4.14,20
bfd_p-d65,1968,1755,3.8,12
bfd_p-d65,1960,2176,3.51,13
bfd_p-d65,261,302,3.62,11
bfd_p-d65,280,216,2.97,10
bfd_p-d65,1067,1220,5.37,23
bfd_p-d65,1067,1081,4.92,17
bfd_p-d65,1067,835,3.97,12
bfd_p-d65,1067,725,3.64,12
bfd_p-d65,1080,724,5.52,25
bfd_p-d65,1219,836,5.02,18
bfd_p-d65,1106,811,3.37,11
bfd_p-d65,1675,1964,3.11,17
bfd_p-d65,1622,1929,3.02,19
bfd_p-d65,2005,1762,4.19,19
bfd_p-d65,2005,1584,5.29,28
bfd_p-d65,2005,1679,4.1,18
bfd_p-d65,2005,1829,4.14,12
bfd_p-d65,1830,2089,2.64,17
bfd_p-d65,1680,1813,2.88,9
bfd_p-d65,1852,1723,4.41,17
bfd_p-d65,1453,1624,3.47,13
bfd_p-d65,1414,1152,2.95,10
bfd_p-d65,1848,1594,3.93,12
bfd_p-d65,1886,2162,3.5,18
bfd_p-d65,1912,2184,3.91,20
bfd_p-d65,1918,1631,3.27,16
bfd_p-d65,185,236,2.98,13
bfd_p-d65,195,264,3.13,14
bfd_p-d65,829,635,3.95,15
bfd_p-d65,810,616,3.9,16
bfd_p-d65,2490,2363,3.45,18
bfd_p-d65,2476,2445,3.25,13
bfd_p-d65,570,465,3.24,10
bfd_p-d65,513,726,5.33,16
bfd_p-d65,2490,2363,3.64,18
bfd_p-d65,2476,2445,2.61,13
bfd_p-d65,2011,1710,3.82,15
bfd_p-d65,1947,2192,3.45,16
bfd_p-d65,2011,1710,3.28,15
bfd_p-d65,1947,2192,3.2,16
bfd_p-d65,541,739,4.07,14
bfd_p-d65,555,326,5.79,19
bfd_p-d65,36,123,4.17,10
bfd_p-d65,36,19,4.28,10
bfd_p-d65,2486,2458,1.428,7
bfd_p-d65,2333,2322,1.498,6
bfd_p-d65,2314,2298,1.288,5
bfd_p-d65,2208,2153,1.498,6
bfd_p-d65,1856,1775,1.4,5
bfd_p-d65,1123,1073,1.26,3
bfd_p-d65,691,627,1.414,4
bfd_p-d65,493,469,1.484,2
bfd_p-d65,112,105,1.442,2
bfd_p-d65,21,20,1.736,3
bfd_p-d65,7,6,1.47,3
bfd_p-d65,5,4,1.344,2
bfd_p-d65,2,1,1.386,4
bfd_p-d65,3,0,1.246,5
bfd_p-d65,1971,1861,1.624,7
bfd_p-d65,1681,1601,1.232,4
bfd_p-d65,775,738,1.288,3
bfd_p-d65,685,640,1.372,4
bfd_p-d65,442,404,1.036,4
bfd_p-d65,97,80,1.372,3
bfd_p-d65,2355,2329,1.316,10
bfd_p-d65,2317,2293,1.386,8
bfd_p-d65,2175,2130,1.232,5
bfd_p-d65,1532,1479,1.484,5
bfd_p-d65,1084,931,1.512,5
bfd_p-d65,585,538,1.26,4
bfd_p-d65,417,331,1.176,4
bfd_p-d65,2316,2299,0.98,6
bfd_p-d65,2110,1980,1.414,5
bfd_p-d65,1641,1595,1.162,4
bfd_p-d65,1487,1440,1.176,4
bfd_p-d65,702,657,1.302,4
bfd_p-d65,518,496,1.176,2
bfd_p-d65,286,260,1.554,4
bfd_p-d65,2296,2265,1.274,5
bfd_p-d65,2294,2231,1.652,9
bfd_p-d65,2286,2230,1.372,7
bfd_p-d65,2187,2104,1.624,10
bfd_p-d65,1438,1377,1.19,5
bfd_p-d65,1201,1101,0.98,5
bfd_p-d65,788,728,1.33,5
bfd_p-d65,1557,1556,1.39,8
bfd_p-d65,1540,1578,2.36,14
bfd_p-d65,1579,1545,2.59,4
bfd_p-d65,1719,1740,2.18,5
bfd_p-d65,1741,1736,2.69,2
bfd_p-d65,1741,1776,3.06,3
bfd_p-d65,1731,1821,1.94,5
bfd_p-d65,1731,1785,1.44,3
bfd_p-d65,1731,1683,0.89,3
bfd_p-d65,1744,1792,2.04,3
bfd_p-d65,1791,1782,2.56,2
bfd_p-d65,1695,1747,1.6,4
bfd_p-d65,1721,1787,1.2,3
bfd_p-d65,1721,1698,1.0,3
bfd_p-d65,1721,1750,0.98,3
bfd_p-d65,1877,1873,1.43,2
bfd_p-d65,1877,1892,1.69,3
bfd_p-d65,1891,1854,2.23,4
bfd_p-d65,2012,2074,2.38,5
bfd_p-d65,2075,2035,2.45,3
bfd_p-d65,2119,2001,3.38,11
bfd_p-d65,2119,2105,2.12,4
bfd_p-d65,192,180,1.03,2
bfd_p-d65,192,183,1.15,4
bfd_p-d65,182,190,0.76,3
bfd_p-d65,193,191,1.25,2
bfd_p-d65,193,200,0.89,3
bfd_p-d65,187,189,1.2,2
bfd_p-d65,187,181,0.6,3
bfd_p-d65,176,186,0.72,3
bfd_p-d65,154,174,2.29,8
bfd_p-d65,140,155,3.07,7
bfd_p-d65,140,175,2.25,7
bfd_p-d65,589,617,1.74,6
bfd_p-d65,603,554,2.59,5
bfd_p-d65,615,560,2.68,6
bfd_p-d65,603,561,3.08,6
bfd_p-d65,562,597,1.28,6
bfd_p-d65,549,581,1.66,5
bfd_p-d65,549,569,2.4,4
bfd_p-d65,549,646,2.79,8
bfd_p-d65,549,602,2.6,5
bfd_p-d65,549,500,2.25,7
bfd_p-d65,549,514,2.82,7
bfd_p-d65,549,510,2.42,7
bfd_p-d65,549,593,1.76,7
bfd_p-d65,549,624,2.4,8
bfd_p-d65,549,525,3.66,6
bfd_p-d65,509,592,2.19,7
bfd_p-d65,626,526,2.95,8
bfd_p-d65,583,645,1.81,6
bfd_p-d65,545,535,0.92,2
bfd_p-d65,545,512,2.15,6
bfd_p-d65,604,625,2.28,6
bfd_p-d65,540,521,1.63,4
bfd_p-d65,523,553,1.82,4
bfd_p-d65,601,618,2.16,6
bfd_p-d65,529,522,1.36,4
bfd_p-d65,1900,1976,2.08,7
bfd_p-d65,1975,1958,2.3,2
bfd_p-d65,1959,1967,1.37,2
bfd_p-d65,1901,1908,4.44,7
bfd_p-d65,1901,1986,3.17,8
bfd_p-d65,1901,2027,3.24,9
bfd_p-d65,1901,1974,2.45,7
bfd_p-d65,1915,1954,2.44,4
bfd_p-d65,1956,1922,1.36,3
bfd_p-d65,1915,1925,2.69,3
bfd_p-d65,1993,1923,1.87,4
bfd_p-d65,262,276,0.86,3
bfd_p-d65,262,281,0.98,5
bfd_p-d65,282,272,0.99,12
bfd_p-d65,279,257,0.92,5
bfd_p-d65,279,227,1.34,9
bfd_p-d65,270,283,2.06,18
bfd_p-d65,1062,1116,1.31,6
bfd_p-d65,1062,921,1.2,10
bfd_p-d65,1115,1068,1.51,10
bfd_p-d65,1066,845,1.36,7
bfd_p-d65,991,1083,1.21,9
bfd_p-d65,1097,1063,1.39,12
bfd_p-d65,1058,908,1.36,11
bfd_p-d65,1685,1833,1.55,7
bfd_p-d65,1682,1621,0.9,6
bfd_p-d65,1599,1618,1.34,13
bfd_p-d65,1614,1687,3.3,6
bfd_p-d65,2044,1972,1.44,5
bfd_p-d65,2044,2029,1.79,4
bfd_p-d65,2044,2069,1.12,4
bfd_p-d65,2061,1991,1.62,7
bfd_p-d65,1992,1997,1.66,5
bfd_p-d65,1998,2068,1.82,4
bfd_p-d65,776,840,0.95,6
bfd_p-d65,839,796,0.81,5
bfd_p-d65,978,850,1.3,6
bfd_p-d65,791,858,1.79,10
bfd_p-d65,791,752,2.02,6
bfd_p-d65,766,831,0.87,6
bfd_p-d65,552,550,1.0,2
bfd_p-d65,552,539,1.45,6
bfd_p-d65,552,566,0.89,5
bfd_p-d65,1598,1605,1.43,2
bfd_p-d65,1598,1567,0.96,4
bfd_p-d65,1606,1561,1.51,5
bfd_p-d65,2217,2233,2.99,8
bfd_p-d65,2182,2171,1.64,3
bfd_p-d65,2170,2144,2.49,5
bfd_p-d65,2137,2180,3.43,8
bfd_p-d65,2177,2168,2.04,4
bfd_p-d65,1131,1183,0.98,5
bfd_p-d65,1181,1103,1.16,10
bfd_p-d65,1122,1127,1.66,6
bfd_p-d65,1211,1100,1.78,15
bfd_p-d65,1130,1099,0.82,2
bfd_p-d65,2242,2172,3.4,17
bfd_p-d65,2206,2181,2.8,10
bfd_p-d65,2206,2202,2.5,3
bfd_p-d65,2206,2195,4.03,6
bfd_p-d65,1011,912,3.1,5
bfd_p-d65,1011,989,2.23,6
bfd_p-d65,1048,1105,2.59,7
bfd_p-d65,1048,1033,3.29,7
bfd_p-d65,694,688,2.16,8
bfd_p-d65,731,765,1.89,8
bfd_p-d65,700,723,1.67,5
bfd_p-d65,700,743,2.95,10
bfd_p-d65,2152,2186,2.32,9
bfd_p-d65,2091,2092,2.17,6
bfd_p-d65,1938,1996,3.9,11
bfd_p-d65,1938,2056,2.02,7
bfd_p-d65,1558,1553,1.48,3
bfd_p-d65,1552,1588,3.05,6
bfd_p-d65,1587,1559,3.84,5
bfd_p-d65,1727,1778,2.1,16
bfd_p-d65,833,1002,2.3,8
bfd_p-d65,817,823,1.95,4
bfd_p-d65,817,825,2.11,5
bfd_p-d65,1159,1128,1.89,7
bfd_p-d65,1125,1118,1.93,4
bfd_p-d65,891,900,1.84,5
bfd_p-d65,899,1055,2.04,8
bfd_p-d65,1056,893,2.68,7
bfd_p-d65,2052,1926,1.67,9
bfd_p-d65,1924,1945,1.85,3
bfd_p-d65,1944,2050,2.85,8
bfd_p-d65,1245,1383,1.92,7
bfd_p-d65,1382,1269,1.82,6
bfd_p-d65,1328,1348,2.33,4
bfd_p-d65,827,903,2.45,7
bfd_p-d65,904,1000,3.09,20
bfd_p-d65,827,999,2.22,22
bfd_p-d65,414,447,2.15,7
bfd_p-d65,445,407,1.56,5
bfd_p-d65,445,429,2.05,6
bfd_p-d65,298,312,0.97,7
bfd_p-d65,311,293,1.59,11
bfd_p-d65,298,294,1.05,4
bfd_p-d65,495,475,1.83,5
